objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
12762,RH2208, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02118063,,,,,,,{146C8528-AFFF-43A5-AE55-2097128858CE},Closed,0.000320017007323358
12763,RH2209, ,RH,Round Hill,Round Hill Park,,,,,,,,0.15810347,,,,,,,{DADDE326-2A08-4EBF-A116-E32A50ED8BB3},Active Trail,0.0028040389890061
12764,RH2210, ,RH,Round Hill,Round Hill Park,,,,,,,,0.07945526,,,,,,,{CB7A8A0C-5AB9-437E-8C80-24AFA415E029},Active Trail,0.0013083934073261
12765,RH2211, ,RH,Round Hill,Round Hill Park,,,,,,,,0.61133289,,,,,,,{86CEBB79-7621-45A9-A345-8FEC3ABF508C},Active Trail,0.010516996547993
12766,RH2212, ,RH,Round Hill,Round Hill Park,,,,,,,,0.38272346,,,,,,,{EF5169E5-07ED-41C7-9B6B-BDECA51151E8},Active Trail,0.0061326912330104
12767,RH2213, ,RH,Round Hill,Round Hill Park,,,,,,,,0.40078943,,,,,,,{F1A0165E-D48E-4A04-B47B-C50310578E59},Active Trail,0.00659602618476935
12768,RH2214, ,RH,Round Hill,Round Hill Park,,,,,,,,0.29415779,,,,,,,{C319DA33-8F73-4589-BB21-B1F6BD1E29EE},Closed,0.00495288378861378
12769,RH2215, ,RH,Round Hill,Round Hill Park,,,,,,,,0.2829491,,,,,,,{AD6307E2-7DF4-4C86-8D94-AF66CF8489E2},Closed,0.00459760853970392
12770,RH2216, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27219434,,,,,,,{149D3403-0B29-4143-B3B1-9574E55B28FD},Closed,0.00454318149580171
12771,RH2217, ,RH,Round Hill,Round Hill Park,,,,,,,,0.17824682,,,,,,,{E80D086B-CB00-41C8-B476-A2AA69EAE9F4},Closed,0.00327261202879621
12772,RH2218, ,RH,Round Hill,Round Hill Park,,,,,,,,0.01066276,,,,,,,{80CBC052-C0EF-4285-B5D4-61700CD13C89},Closed,0.000167295976585321
12773,RH2219, ,RH,Round Hill,Round Hill Park,,,,,,,,0.11871212,,,,,,,{A32D1B38-BD8E-4B38-8677-4CF71033EF0F},Closed,0.00201344634387319
12774,RH2220, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02910441,,,,,,,{4C1711F5-928B-484B-B961-F53D8C2A4FDC},Closed,0.000432384799044646
12775,RH2221, ,RH,Round Hill,Round Hill Park,,,,,,,,0.25700538,,,,,,,{8D9EE370-26DB-465F-B654-278183498F6E},Closed,0.00395459181981922
